09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
10:00:11 ReplicaSet rfs-test-cluster-54df69f8df 3563:	Deleted pod: rfs-test-cluster-54df69f8df-n4cq9
10:01:15 ReplicaSet rfs-test-cluster-54df69f8df 3684:	Created pod: rfs-test-cluster-54df69f8df-s7qcj
10:02:05 ReplicaSet rfs-test-cluster-54df69f8df 3803:	Created pod: rfs-test-cluster-54df69f8df-nkj75
10:02:55 ReplicaSet rfs-test-cluster-54df69f8df 3929:	Created pod: rfs-test-cluster-54df69f8df-n29ng
09:57:40 Pod rfs-test-cluster-855cf5cb54-8qdwh 3197:	Successfully assigned acto-namespace/rfs-test-cluster-855cf5cb54-8qdwh to acto-cluster-7-worker2
09:57:41 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Container image "redis:6.2.6-alpine" already present on machine
09:57:41 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Created container sentinel-config-copy
09:57:55 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Started container sentinel-config-copy
09:57:57 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Container image "redis:6.2.6-alpine" already present on machine
09:57:57 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Created container sentinel
09:57:57 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Started container sentinel
10:02:05 Pod rfs-test-cluster-855cf5cb54-8qdwh 3199:	Stopping container sentinel
09:59:21 Pod rfs-test-cluster-855cf5cb54-kzgk2 3445:	Successfully assigned acto-namespace/rfs-test-cluster-855cf5cb54-kzgk2 to acto-cluster-7-worker
09:59:21 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Container image "redis:6.2.6-alpine" already present on machine
09:59:21 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Created container sentinel-config-copy
09:59:35 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Started container sentinel-config-copy
09:59:37 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Container image "redis:6.2.6-alpine" already present on machine
09:59:37 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Created container sentinel
09:59:37 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Started container sentinel
10:03:45 Pod rfs-test-cluster-855cf5cb54-kzgk2 3448:	Stopping container sentinel
09:58:31 Pod rfs-test-cluster-855cf5cb54-m5225 3320:	Successfully assigned acto-namespace/rfs-test-cluster-855cf5cb54-m5225 to acto-cluster-7-worker3
09:58:31 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Container image "redis:6.2.6-alpine" already present on machine
09:58:31 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Created container sentinel-config-copy
09:58:45 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Started container sentinel-config-copy
09:58:47 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Container image "redis:6.2.6-alpine" already present on machine
09:58:47 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Created container sentinel
09:58:47 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Started container sentinel
10:02:55 Pod rfs-test-cluster-855cf5cb54-m5225 3324:	Stopping container sentinel
09:57:40 ReplicaSet rfs-test-cluster-855cf5cb54 3194:	Created pod: rfs-test-cluster-855cf5cb54-8qdwh
09:58:31 ReplicaSet rfs-test-cluster-855cf5cb54 3317:	Created pod: rfs-test-cluster-855cf5cb54-m5225
09:59:21 ReplicaSet rfs-test-cluster-855cf5cb54 3443:	Created pod: rfs-test-cluster-855cf5cb54-kzgk2
10:02:05 ReplicaSet rfs-test-cluster-855cf5cb54 3793:	Deleted pod: rfs-test-cluster-855cf5cb54-8qdwh
10:02:55 ReplicaSet rfs-test-cluster-855cf5cb54 3919:	Deleted pod: rfs-test-cluster-855cf5cb54-m5225
10:03:45 ReplicaSet rfs-test-cluster-855cf5cb54 4047:	Deleted pod: rfs-test-cluster-855cf5cb54-kzgk2
