06:48:13 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Created container sentinel
06:48:13 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Started container sentinel
06:48:13 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:48:14 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 183.720932ms
06:48:14 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Created container sentinel-exporter
06:48:16 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Started container sentinel-exporter
06:50:44 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Stopping container sentinel
06:50:44 Pod rfs-test-cluster-64c7df4bf7-kbqtx 2304:	Stopping container sentinel-exporter
06:54:16 Pod rfs-test-cluster-64c7df4bf7-rllbl 3178:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-rllbl to acto-cluster-1-worker3
06:54:17 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Container image "redis:6.2.6-alpine" already present on machine
06:54:17 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Created container sentinel-config-copy
06:54:29 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Started container sentinel-config-copy
06:54:32 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Container image "redis:6.2.6-alpine" already present on machine
06:54:32 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Created container sentinel
06:54:34 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Started container sentinel
06:54:34 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:34 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.394659ms
06:54:34 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Created container sentinel-exporter
06:54:36 Pod rfs-test-cluster-64c7df4bf7-rllbl 3182:	Started container sentinel-exporter
06:46:18 ReplicaSet rfs-test-cluster-64c7df4bf7 2041:	Created pod: rfs-test-cluster-64c7df4bf7-dnxlh
06:47:08 ReplicaSet rfs-test-cluster-64c7df4bf7 2167:	Created pod: rfs-test-cluster-64c7df4bf7-fcph5
06:47:59 ReplicaSet rfs-test-cluster-64c7df4bf7 2298:	Created pod: rfs-test-cluster-64c7df4bf7-kbqtx
06:50:44 ReplicaSet rfs-test-cluster-64c7df4bf7 2664:	Deleted pod: rfs-test-cluster-64c7df4bf7-kbqtx
06:51:34 ReplicaSet rfs-test-cluster-64c7df4bf7 2793:	Deleted pod: rfs-test-cluster-64c7df4bf7-fcph5
06:52:24 ReplicaSet rfs-test-cluster-64c7df4bf7 2924:	Deleted pod: rfs-test-cluster-64c7df4bf7-dnxlh
06:53:26 ReplicaSet rfs-test-cluster-64c7df4bf7 3047:	Created pod: rfs-test-cluster-64c7df4bf7-c545v
