23:42:59 Pod test-cluster-leader-1 2654:	Stopping container redis-exporter
23:43:29 Pod test-cluster-leader-1 3446:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-11-worker
23:43:30 Pod test-cluster-leader-1 3447:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:43:30 Pod test-cluster-leader-1 3447:	Created container test-cluster-leader
23:43:31 Pod test-cluster-leader-1 3447:	Started container test-cluster-leader
23:43:31 Pod test-cluster-leader-1 3447:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:43:31 Pod test-cluster-leader-1 3447:	Created container redis-exporter
23:43:33 Pod test-cluster-leader-1 3447:	Started container redis-exporter
23:46:41 Pod test-cluster-leader-1 3447:	Stopping container test-cluster-leader
23:46:41 Pod test-cluster-leader-1 3447:	Stopping container redis-exporter
23:47:12 Pod test-cluster-leader-1 4253:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-11-worker
23:47:14 Pod test-cluster-leader-1 4258:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:47:14 Pod test-cluster-leader-1 4258:	Created container test-cluster-leader
23:47:15 Pod test-cluster-leader-1 4258:	Started container test-cluster-leader
23:47:15 Pod test-cluster-leader-1 4258:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:47:15 Pod test-cluster-leader-1 4258:	Created container redis-exporter
23:47:17 Pod test-cluster-leader-1 4258:	Started container redis-exporter
23:33:29 Pod test-cluster-leader-2 1236:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-11-worker2
23:33:30 Pod test-cluster-leader-2 1298:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:33:30 Pod test-cluster-leader-2 1298:	Created container test-cluster-leader
23:33:32 Pod test-cluster-leader-2 1298:	Started container test-cluster-leader
23:33:32 Pod test-cluster-leader-2 1298:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:33:32 Pod test-cluster-leader-2 1298:	Created container redis-exporter
23:33:33 Pod test-cluster-leader-2 1298:	Started container redis-exporter
23:34:34 Pod test-cluster-leader-2 1298:	Stopping container test-cluster-leader
23:34:34 Pod test-cluster-leader-2 1298:	Stopping container redis-exporter
23:35:05 Pod test-cluster-leader-2 1607:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-11-worker2
23:35:06 Pod test-cluster-leader-2 1608:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:35:06 Pod test-cluster-leader-2 1608:	Created container test-cluster-leader
23:35:07 Pod test-cluster-leader-2 1608:	Started container test-cluster-leader
23:35:07 Pod test-cluster-leader-2 1608:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:35:07 Pod test-cluster-leader-2 1608:	Created container redis-exporter
23:35:08 Pod test-cluster-leader-2 1608:	Started container redis-exporter
23:38:16 Pod test-cluster-leader-2 1608:	Stopping container test-cluster-leader
23:38:16 Pod test-cluster-leader-2 1608:	Stopping container redis-exporter
